Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0211873264413583,-0.000578679194436403,-0.535897425904545,0,0,0,9.70005004618049,0.494157879661375,1.61145426298652E-07,-2.737415919313E-06,0.484477804733134,4.10251355813697E-07,0.0374833293782543,0,0,0,0,0,0,package://armv2URDF/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/base_link.STL,,baseLink-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00639176807882896,-0.0729037479824685,-0.000182560348840566,0,0,0,0.946680841893098,0.00227765385399196,0.000169821841109933,2.49771803243152E-08,0.00147449768490373,-1.68751643685416E-07,0.00187280030458172,0,0,0,0,0,0,package://armv2URDF/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link1.STL,,link1-2,link1Coords,link1Axis,joint1,revolute,0.0215734774382594,-0.163325,0.060481929205022,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
link2,0.0226409324077597,-4.83004338838744E-05,-0.0456182253344111,0,0,0,0.524797758723649,0.00137005099117973,2.52458760727533E-06,0.000262439334892806,0.00125797775963598,-2.57496249554106E-07,0.000889484097722322,0,0,0,0,0,0,package://armv2URDF/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link2.STL,,link2-2,link2Coords,link2Axis,joint2,revolute,-0.0428200564481259,-0.116,-0.000180788468191695,0,0,0,link1,1,0,0,0,0,0,0,,,,,,,,
link3,-0.00598357016341943,0.000141304767097838,-0.0990878667079447,0,0,0,0.617876375655755,0.00251173914616527,-2.34051527786681E-06,-2.58426068013565E-05,0.00288736195097941,-4.40908728556819E-05,0.000536706636009815,0,0,0,0,0,0,package://armv2URDF/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link3.STL,,link3-2,link3Coords,link3Axis,joint3,revolute,0.0359999999999998,0,-0.1162999991972,0,0,0,link2,0,0,-1,0,0,0,0,,,,,,,,
link4,0.000589780866338156,0.0234957374981252,-0.0534086548301933,0,0,0,0.236099727990138,0.000374896268749316,2.01149413314071E-06,4.67080005222847E-06,0.000236745756975195,-7.16659840503617E-07,0.000331869493061911,0,0,0,0,0,0,package://armv2URDF/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link4.STL,,link4-2,link4Coords,link4Axis,joint4,revolute,0,-0.0252499991972028,-0.1846,0,0,0,link3,0,-1,0,0,0,0,0,,,,,,,,
link5,-6.76878805183408E-05,-0.00333839052654183,-0.0713160016983475,0,0,0,0.260193841211252,0.000711350956353437,1.09800020734735E-07,5.84637911833503E-07,0.000776554866617874,3.4828989222377E-05,0.000207422334507734,0,0,0,0,0,0,package://armv2URDF/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link5.STL,,link5-2,link5Coords,link5Axis,joint5,revolute,0,0.0274999999999994,-0.1074999991972,0,0,0,link4,0,0,1,0,0,0,0,,,,,,,,
link6,0.0024081538841275,-0.0499383130809352,-0.0643219245330953,0,0,0,0.120420205315175,0.000106661288483188,-4.69677316197868E-06,4.16171284294177E-06,7.61032549163886E-05,1.75230255432293E-05,9.69195737112299E-05,0,0,0,0,0,0,package://armv2URDF/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link6.STL,,link6-2,link6Coords,link6Axis,joint6,revolute,0,0.0325,-0.128000000000001,0,0,0,link5,0,-1,0,0,0,0,0,,,,,,,,
link7,-0.00206129891851869,-0.134651480799952,-0.0277675675986927,0,0,0,0.0372930675250569,1.51529276256957E-05,6.69248606569175E-09,-4.79077371666837E-07,1.98339939367373E-05,2.61463007882642E-06,9.05266779219802E-06,0,0,0,0,0,0,package://armv2URDF/meshes/link7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link7.STL,,link7-1,link7Coords,link78Axis,joint7,prismatic,0,0.0261579738681254,-0.11101425916694,0,0,0,link6,0,-1,0,0,0,0,0,,,,,,,,
link8,0.00206129891873962,0.0976514848914404,-0.0222233093304134,0,0,0,0.0372930675242417,1.51529276255245E-05,6.69248520177956E-09,4.79077372021657E-07,1.98339939364651E-05,-2.61463007873344E-06,9.05266779209683E-06,0,0,0,0,0,0,package://armv2URDF/meshes/link8.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link8.STL,,link8-1,link8Coords,link78Axis,joint8,prismatic,0,-0.0771579775183292,-0.116558517434743,0,0,0,link6,0,-1,0,0,0,0,0,,,,,,,,
link1L,0.00639227991738009,0.0729035564223832,-0.000181503970779096,0,0,0,0.946692068071669,0.00227767540037511,-0.000169830389832244,-2.51533412314416E-08,0.00147451036127731,1.68081499163973E-07,0.00187281914191161,0,0,0,0,0,0,package://armv2URDF/meshes/link1L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv2URDF/meshes/link1L.STL,,Mirrorlink1-3,Link1LCoords,link1L,joint1L,revolute,0.0215734774382595,0.163325,0.060481929205022,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
