Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0211873264431581,-0.000578679189188015,-0.535897425866049,0,0,0,9.70005004664541,0.494157879660142,1.61145486953875E-07,-2.73741600536941E-06,0.484477804733274,4.10251525787601E-07,0.0374833293769537,0,0,0,0,0,0,package://boxingURDF/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/base_link.STL,,baseLink-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00639176807882896,-0.0729037479824685,-0.000182560348840344,0,0,0,0.946680841893099,0.00227765385399196,0.000169821841109933,2.49771803243319E-08,0.00147449768490373,-1.68751643685385E-07,0.00187280030458172,0,0,0,0,0,0,package://boxingURDF/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link1.STL,,link1-2,link1Coords,link1Axis,joint1,revolute,0.0215734774382594,-0.163325,0.060481929205022,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
link2,0.0226409320729833,-4.8300392940348E-05,-0.0456182257026434,0,0,0,0.524797756215336,0.00137005098441945,2.52458785552483E-06,0.000262439335266743,0.00125797775087099,-2.57493544325746E-07,0.000889484099676718,0,0,0,0,0,0,package://boxingURDF/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link2.STL,,link2-2,link2Coords,link2Axis,joint2,revolute,-0.0428200564481259,-0.116,-0.000180788468191695,0,0,0,link1,1,0,0,0,0,0,0,,,,,,,,
link3,-0.005983570214833,0.000141304684249388,-0.0990878669466497,0,0,0,0.617876373651381,0.00251173913727183,-2.34051699880102E-06,-2.58426065969808E-05,0.00288736194247939,-4.40908708035194E-05,0.000536706633614641,0,0,0,0,0,0,package://boxingURDF/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link3.STL,,link3-2,link3Coords,link3Axis,joint3,revolute,0.0359999999999998,0,-0.1162999991972,0,0,0,link2,0,0,-1,0,0,0,0,,,,,,,,
link4,0.000589780866340229,-0.0270042608962768,-0.0534086548301951,0,0,0,0.236099727990152,0.000374896268749318,2.01149413314114E-06,4.67080005222885E-06,0.000236745756975194,-7.16659840503466E-07,0.00033186949306191,0,0,0,0,0,0,package://boxingURDF/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link4.STL,,link4-2,link4Coords,link4Axis,joint4,revolute,0,0.0252499991971972,-0.1846,0,0,0,link3,0,-1,0,0,0,0,0,,,,,,,,
link5,-0.00116161107905586,-6.76878805146441E-05,-0.0713160016983483,0,0,0,0.260193841211252,0.000776554866617905,-1.09800020718996E-07,-3.48289892223938E-05,0.00071135095635345,5.84637911807951E-07,0.000207422334507752,0,0,0,0,0,0,package://boxingURDF/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link5.STL,,link5-2,link5Coords,link5Axis,joint5,revolute,0,-0.0274999999999999,-0.1074999991972,0,0,0,link4,0,0,1,0,0,0,0,,,,,,,,
link1L,0.0063922799173801,0.0729035564223833,-0.000181503970779096,0,0,0,0.946692068071668,0.00227767540037511,-0.000169830389832245,-2.51533412314356E-08,0.00147451036127731,1.68081499163996E-07,0.00187281914191161,0,0,0,0,0,0,package://boxingURDF/meshes/link1L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link1L.STL,,Mirrorlink1-3,Link1LCoords,link1L,joint1L,revolute,0.0215734774382595,0.163325,0.060481929205022,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
link2l,-0.011359261495819,4.8238602768147E-05,-0.0456181165667715,0,0,0,0.524798988398382,0.0013700517207607,-2.52083730252911E-06,0.000262436488548803,0.00125796246592663,2.44904922319661E-07,0.000889474018929076,0,0,0,0,0,0,package://boxingURDF/meshes/link2l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link2l.STL,,Mirrorlink2-3,Link2LCoords,link2L,joint2l,revolute,-0.00882005644812602,0.116,-0.000180788468191695,0,0,0,link1L,1,0,0,0,0,0,0,,,,,,,,
link3l,-0.0059833228002548,-0.000141528692258197,-0.0980884094934427,0,0,0,0.617868521774117,0.00251173239491134,2.3413597485336E-06,-2.58450095814269E-05,0.00288735331619627,4.40890218624611E-05,0.00053670375517804,0,0,0,0,0,0,package://boxingURDF/meshes/link3l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link3l.STL,,Mirrorlink3-3,Link3LCoords,link3L,joint3l,revolute,0.00200000000000037,0,-0.117299999197201,0,0,0,link2l,0,0,-1,0,0,0,0,,,,,,,,
link4l,0.000589678856968162,0.0270042999845513,-0.0534086986094746,0,0,0,0.236099596183991,0.000374896178399616,-2.01083261967758E-06,4.67089648036617E-06,0.000236745167545952,7.16455690670873E-07,0.000331869395417313,0,0,0,0,0,0,package://boxingURDF/meshes/link4l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link4l.STL,,Mirrorlink4-3,Link4LCoords,link4L,joint4l,revolute,0,-0.0252499991972027,-0.183599999999999,0,0,0,link3l,0,1,0,0,0,0,0,,,,,,,,
link5l,-0.00242526475601328,9.22355478022441E-05,-0.00957277466788142,0,0,0,0.260192598192354,0.000776552473650282,1.12212189008526E-07,-3.48288772748489E-05,0.000711354366302318,-5.8519363421275E-07,0.000207426469120314,0,0,0,0,0,0,package://boxingURDF/meshes/link5l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://boxingURDF/meshes/link5l.STL,,Mirrorlink5-3,Link5LCoords,link5L,joint5l,revolute,0.00126373662642698,0.0274750000000006,-0.169243101839288,0,0,0,link4l,0,0,1,0,0,0,0,,,,,,,,
