Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0240465911838387,-0.00119381439562366,-0.579938635007463,0,0,0,9.28496121711128,0.445177785928144,1.58136251301229E-07,-2.73741593886263E-06,0.43540321740852,4.14139393064407E-07,0.0373345247622536,0,0,0,0,0,0,package://armWithStand/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/base_link.STL,,baseLink-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00656892777886122,-0.0774448618020812,4.35649645926794E-05,0,0,0,0.880686284722837,0.00211404619008881,0.000178943090065762,1.70625660744596E-06,0.00112204599482743,-1.57114173279083E-06,0.00173722392544045,0,0,0,0,0,0,package://armWithStand/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link1.STL,,link1-2,link1Coords,link1Axis,joint1,revolute,0.023038,-0.1633,0.0175,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
link2,0.0226409324077538,-4.83004338934223E-05,-0.0456182253344024,0,0,0,0.524797758723582,0.00137005099117971,2.52458760715616E-06,0.000262439334892762,0.00125797775963587,-2.57496249453735E-07,0.000889484097722237,0,0,0,0,0,0,package://armWithStand/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link2.STL,,link2-2,link2Coords,link2Axis,joint2,revolute,-0.043021,-0.116,0,0,0,0,link1,1,0,0,0,0,0,0,,,,,,,,
link3,-0.00598357023935897,0.000141304695561895,-0.0990878666908477,0,0,0,0.617876376308592,0.00251173914408603,-2.34051590978776E-06,-2.58426053625805E-05,0.0028873619510551,-4.40908730682744E-05,0.000536706635939588,0,0,0,0,0,0,package://armWithStand/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link3.STL,,link3-2,link3Coords,link3Axis,joint3,revolute,0.036,0,-0.1163,0,0,0,link2,0,0,-1,0,0,0,0,,,,,,,,
link4,0.000589780866343222,-0.0270042608962777,-0.0534086548301914,0,0,0,0.23609972799013,0.000374896268749319,2.0114941331414E-06,4.67080005222902E-06,0.000236745756975199,-7.16659840503682E-07,0.000331869493061915,0,0,0,0,0,0,package://armWithStand/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link4.STL,,link4-2,link4Coords,link4Axis,joint4,revolute,0,0.02525,-0.1846,0,0,0,link3,0,-1,0,0,0,0,0,,,,,,,,
link5,-6.78957119078383E-05,0.00286491111678866,-0.0734829534285805,0,0,0,0.258486488949645,0.000684117464250573,8.82875227148232E-08,6.11151359704886E-07,0.000762751506206543,1.01432137719565E-05,0.00019079340967795,0,0,0,0,0,0,package://armWithStand/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link5.STL,,link5-2,link5Coords,link5Axis,joint5,revolute,0,-0.0275,-0.1075,0,0,0,link4,0,0,1,0,0,0,0,,,,,,,,
link6,0.00240815388409115,0.0195616885246606,-0.0643219245330834,0,0,0,0.120420205315175,0.000106661288483187,-4.6967731619787E-06,4.16171284294191E-06,7.61032549163884E-05,1.75230255432292E-05,9.69195737112295E-05,0,0,0,0,0,0,package://armWithStand/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link6.STL,,link6-2,link6Coords,link6Axis,joint6,revolute,0,-0.0325,-0.128,0,0,0,link5,0,-1,0,0,0,0,0,,,,,,,,
link7,-0.00206129891803919,-0.0128355314532572,-0.022223309329361,0,0,0,0.0372930675071662,1.5152927623881E-05,6.69248668152572E-09,-4.79077370376869E-07,1.98339939405838E-05,2.61463007811667E-06,9.05266779355034E-06,0,0,0,0,0,0,package://armWithStand/meshes/link7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link7.STL,,link7-1,link7Coords,link78Axis,joint7,prismatic,0,-0.026158,-0.11656,0,0,0,link6,0,-1,0,0,0,0,0,,,,,,,,
link8,0.00206129891870067,0.0128355314603838,-0.0222233093303864,0,0,0,0.0372930675242194,1.51529276254904E-05,6.6924852015877E-09,4.79077372021123E-07,1.9833993936431E-05,-2.61463007872616E-06,9.05266779209366E-06,0,0,0,0,0,0,package://armWithStand/meshes/link8.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link8.STL,,link8-1,link8Coords,link78Axis,joint8,prismatic,0,0.077158,-0.11656,0,0,0,link6,0,-1,0,0,0,0,0,,,,,,,,
link1L,0.00656947969267134,0.0774446941194176,4.43989899392427E-05,0,0,0,0.880696012321257,0.00211405903813564,-0.000178951636959864,1.65959627695689E-06,0.00112205426841718,1.56887735279295E-06,0.00173723862167167,0,0,0,0,0,0,package://armWithStand/meshes/link1L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armWithStand/meshes/link1L.STL,,Mirrorlink1-3,Link1LCoords,link1L,joint1L,revolute,0.023038,0.1633,0.0175,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
