Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_origin,0.012639008388684,0.0549439388053319,0.0177667423083054,0,0,0,0.0660106439932599,5.23782502756952E-05,5.56027503556311E-06,-2.04232704241116E-06,4.68435144724578E-05,-3.53759019318885E-06,9.33111093969451E-05,0,0,0,0,0,0,package://hand_urdf/meshes/hand_origin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_urdf/meshes/hand_origin.STL,,lower_palm_cover-1;upper_palm_casing_v3-1;proximal_abduction_joint-1;proximal_abduction_joint-2;proximal_abduction_joint-3;proximal_abduction_joint-4;GL30.stp-1,hand_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb,-0.00410792155457581,-0.023660585810971,-0.0137428432395027,0,0,0,0.00587030274151416,2.11945982245643E-06,-1.30096195547478E-07,3.98749006866338E-08,1.48388537589084E-06,-2.82528057166445E-07,7.45927169011185E-07,0,0,0,0,0,0,package://hand_urdf/meshes/thumb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_urdf/meshes/thumb.STL,,thumb_circumduction_joint-1,thumb_circumduction,circumductionax <upper_palm_casing_v3-1>,circumduction,revolute,0.00370991967320959,0.0778978368943719,0.0197514136023172,0,0,0,hand_origin,-0.229185871200052,-0.973163158458363,-0.0206713197841076,0,0,-0.6,0.1,,,,,,,,
thumb_abduction,0.0126107088267812,-0.00364765147838937,-0.00178147637971057,0,0,0,0.0264428604999541,5.36230967445879E-06,-3.29750391545269E-07,2.99236797383711E-07,3.62331550830776E-06,-1.46942779734852E-07,3.07527926087961E-06,0,0,0,0,0,0,package://hand_urdf/meshes/thumb_abduction.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_urdf/meshes/thumb_abduction.STL,,thumb_proximal_joint-1;thumb_distal-1;GL30.stp-2,thumb_abduction,Axis1 <thumb_proximal_joint-1>,MCP_A_thumb,revolute,-0.0321441107001726,-0.0225708828237391,-0.0323091303826847,0,0,0,thumb,0.973371143108329,-0.229234852856158,0,0,0,0,2,,,,,,,,
thumb_inter,-0.00260670403491632,-0.0108791088797989,-0.0182754703997129,0,0,0,0.00887103030990217,1.94689608711788E-06,-6.41099574455908E-08,-1.04340829712788E-07,1.74045324361645E-06,-2.4198417160809E-07,7.3172598404725E-07,0,0,0,0,0,0,package://hand_urdf/meshes/thumb_inter.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hand_urdf/meshes/thumb_inter.STL,,thumb_inter_assem-1,thumb_PIP,Axis2,PIP_thumb,revolute,0.0189782823306077,-0.00884284221341614,-0.0272724744675539,0,0,0,thumb_abduction,0.222602988561972,0.945211091316152,-0.238796780414242,0,0,-1.5,0,,,,,,,,
thumb_distal,-0.00298455046406867,-0.0121349302761894,-0.0110379338988981,0,0,0,0.00502934180377221,5.42872803612086E-07,-1.97867565913643E-08,1.53270119986316E-08,4.43356195986788E-07,-1.46613657597982E-08,3.9885376175655E-07,0,0,0,0,0,0,package://hand_urdf/meshes/thumb_distal.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hand_urdf/meshes/thumb_distal.STL,,thumb_distal_assem-1,thumb_DIP,thumb_dipax,DIP_thumb,revolute,-0.00157655337196645,-0.00669432042606979,-0.0405302424554609,0,0,0,thumb_inter,0.222602988561972,0.945211091316152,-0.238796780414242,0,0,-1.5,0,,,,,,,,
abduction_1,-6.03565114554172E-11,0.00329900174362591,-0.00786210094447506,0,0,0,0.00148234880379266,7.97281821893678E-08,6.80297473863727E-17,3.10066213873972E-16,1.27500148415264E-07,2.46988578757295E-08,1.27073958361039E-07,0,0,0,0,0,0,package://hand_urdf/meshes/abduction_1.STL,1,1,1,0.35,0,0,0,0,0,0,package://hand_urdf/meshes/abduction_1.STL,,proximal_u_joint-1,MCP_A_1,mcpax_abd_1,MCP_A_1,revolute,-0.017994427913583,0.110126914145522,0.0361229690938007,0,0,0,hand_origin,0,0.0212365807060809,-0.999774478389959,0,0,-0.15,0.15,,,,,,,,
finger_1,0.0082498237798149,0.0181170112002921,0.00343576428287698,0,0,0,0.00756572549528802,8.4474170010844E-07,3.86377725088552E-11,-2.94627501735292E-11,4.93966991926813E-07,3.80516192146476E-08,9.34397006873227E-07,0,0,0,0,0,0,package://hand_urdf/meshes/finger_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hand_urdf/meshes/finger_1.STL,,proximal_assem-1,MCP_1,mcpax_1,MCP_1,revolute,-0.00850000000000009,0.00803213992053163,-0.0132002653008772,0,0,0,abduction_1,-1,0,0,0,0,0,1.5,,,,,,,,
inter_1,0.00849983995903922,0.0154727081800113,0.0033885093660045,0,0,0,0.00429762211682086,3.77003983554837E-07,-2.26408289885782E-11,1.27149646993104E-11,2.14354664261746E-07,3.75250170622433E-09,4.03680483634736E-07,0,0,0,0,0,0,package://hand_urdf/meshes/inter_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hand_urdf/meshes/inter_1.STL,,inter_assem-1,PIP_1,pipax_1,PIP_1,revolute,-0.000249999999998196,0.0362418248416358,0.000769826050595494,0,0,0,finger_1,1,0,0,0,0,-1.5,0,,,,,,,,
distal_1,0.00799960061547264,0.00964770229434871,0.00178180598420893,0,0,0,0.00510013518505954,2.38291738236741E-07,-1.04544845788618E-11,-5.46760756747977E-12,1.59539752620053E-07,1.25482268517796E-08,2.96910354174042E-07,0,0,0,0,0,0,package://hand_urdf/meshes/distal_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hand_urdf/meshes/distal_1.STL,,distal_assem-1,DIP_1,dipax_1,DIP_1,revolute,0.000500000000001326,0.0331571437691609,0.000704303195227497,0,0,0,inter_1,-1,0,0,0,0,0,1.5,,,,,,,,
finger_2,0.00012531325550094,0.00329649322652324,-0.00786215489873041,0,0,0,0.00148234845314146,7.98063666528832E-08,1.93081236062353E-09,1.02842182911056E-09,1.27422830054502E-07,2.46774570062047E-08,1.27073081775977E-07,0,0,0,0,0,0,package://hand_urdf/meshes/finger_2.STL,1,1,1,0.35,0,0,0,0,0,0,package://hand_urdf/meshes/finger_2.STL,,proximal_u_joint-2,MCP_A_2,mcpax_abd_2,MCP_A_2,revolute,0.0107173222145706,0.122450540662678,0.0363847398178788,0,0,0,hand_origin,0,0.0212365807060816,-0.999774478389959,0,0,-0.15,0.15,,,,,,,,
